"Date","Public","Member","Group","School","Birthdays","Total","Weather","","","","","","","","","","","","","","","","","",""
"7/7/18","2740","1296","270","5","26","4,337","Sunny","","","","","","","","","","","","","","","","","",""
"7/6/18","1938","961","167","0","0","3,066","Sunny","","","","","","","","","","","","","","","","","",""
"7/5/18","1486","665","244","","","2,395","Sunny","","","","","","","","","","","","","","","","","",""
"7/4/18","1404","602","210","","","2,216","Sunny","","","","","","","","","","","","","","","","","",""
"7/3/18","1951","687","24","","","2,662","Sunny","","","","","","","","","","","","","","","","","",""
"7/2/18","1806","985","","","","2,791","Sunny","","","","","","","","","","","","","","","","","",""
"7/1/18","1286","829","","","44","2,159","Cloudy","","","","","","","","","","","","","","","","","",""
"6/30/18","3222","1934","33","","35","5,224","Rainy","","","","","","","","","","","","","","","","","",""
"6/29/18","2381","1578","151","","","4,110","Rainy","","","","","","","","","","","","","","","","","",""
"6/28/18","1652","871","83","","","2,606","Cloudy","","","","","","","","","","","","","","","","","",""
"6/27/18","954","502","42","31","","1,529","Sunny","","","","","","","","","","","","","","","","","",""
"6/26/18","1376","675","35","84","","2,170","Sunny","","","","","","","","","","","","","","","","","",""
"6/25/18","1187","588","42","212","","2,029","Sunny","","","","","","","","","","","","","","","","","",""
"6/24/18","1463","1193","10","","33","2,699","Cloudy","","","","","","","","","","","","","","","","","",""
"6/23/18","1689","1074","41","","15","2,819","Sunny","","","","","","","","","","","","","","","","","",""
"6/22/18","1242","622","","225","","2,089","Sunny","","","","","","","","","","","","","","","","","",""
"6/21/18","1023","405","24","390","","1,842","Sunny","","","","","","","","","","","","","","","","","",""
"6/20/18","824","384","23","553","","1,784","Sunny","","","","","","","","","","","","","","","","","",""
"6/19/18","937","684","","389","","2,010","Sunny","","","","","","","","","","","","","","","","","",""
"6/18/18","811","322","","225","","1,358","Sunny","","","","","","","","","","","","","","","","","",""
"6/17/18","1213","543","10","","72","1,838","Sunny","","","","","","","","","","","","","","","","","",""
"6/16/18","1281","679","41","","58","2,059","Sunny","","","","","","","","","","","","","","","","","",""
"6/15/18","894","504","33","164","","1,595","Sunny","","","","","","","","","","","","","","","","","",""
"6/14/18","941","455","17","526","","1,939","Rainy","","","","","","","","","","","","","","","","","",""
"6/13/18","1411","418","12","529","","2,370","Rainy","","","","","","","","","","","","","","","","","",""
"6/12/18","887","381","37","521","","1,826","Cloudy","","","","","","","","","","","","","","","","","",""
"6/11/18","842","387","20","475","","1,724","Sunny","","","","","","","","","","","","","","","","","",""
"6/10/18","1728","1538","30","","","3,296","Sunny","","","","","","","","","","","","","","","","","",""
"6/9/18","2055","1363","106","","","3,524","Cloudy","","","","","","","","","","","","","","","","","",""
"6/8/18","1758","789","11","388","","2,946","Rainy","","","","","","","","","","","","","","","","","",""
"6/7/18","788","405","","573","","1,766","Cloudy","","","","","","","","","","","","","","","","","",""
"6/6/18","656","335","25","394","","1,410","Sunny","","","","","","","","","","","","","","","","","",""
"6/5/18","882","430","21","722","","2,055","Cloudy","","","","","","","","","","","","","","","","","",""
"6/4/18","1008","466","19","585","","2,078","Cloudy","","","","","","","","","","","","","","","","","",""
"6/3/18","2250","1673","","","75","3,998","Cloudy","","","","","","","","","","","","","","","","","",""
"6/2/18","1532","910","","","38","2,480","Cloudy","","","","","","","","","","","","","","","","","",""
"6/1/18","1012","582","60","986","","2,640","Cloudy","","","","","","","","","","","","","","","","","",""
"5/31/18","828","396","12","1017","","2,253","Sunny","","","","","","","","","","","","","","","","","",""
"5/30/18","898","305","13","518","","1,734","Cloudy","","","","","","","","","","","","","","","","","",""
"5/29/18","940","355","66","813","","2,174","Sunny","","","","","","","","","","","","","","","","","",""
"5/28/18","899","435","","504","","1,838","Sunny","","","","","","","","","","","","","","","","","",""
"5/27/18","2535","1091","56","","53","3,735","Sunny","","","","","","","","","","","","","","","","","",""
"5/26/18","1988","1003","61","15","32","3,099","Rainy","","","","","","","","","","","","","","","","","",""
